number,word,english,example
42,dreihundertzweiundvierzig,three hundred forty-two,Das Gebäude ist dreihundertzweiundvierzig Meter hoch.
2153,zweitausendeinhundertdreiundfünfzig,two thousand one hundred fifty-three,Die Firma hat zweitausendeinhundertdreiundfünfzig Mitarbeiter.
876,achthundertsechsundsiebzig,eight hundred seventy-six,Das Buch hat achthundertsechsundsiebzig Seiten.
1245,eintausendzweihundertfünfundvierzig,one thousand two hundred forty-five,Die Strecke ist eintausendzweihundertfünfundvierzig Kilometer lang.
5432,fünftausendvierhundertzweiunddreißig,five thousand four hundred thirty-two,Das Konzert hat fünftausendvierhundertzweiunddreißig Besucher.
789,siebenhundertneunundachtzig,seven hundred eighty-nine,Das Hotel hat siebenhundertneunundachtzig Zimmer.
3214,dreitausendzweihundertvierzehn,three thousand two hundred fourteen,Die Stadt hat dreitausendzweihundertvierzehn Einwohner.
987,neunhundertsiebenundachtzig,nine hundred eighty-seven,Das Stadion fasst neunhundertsiebenundachtzig Zuschauer.
4567,viertausendfünfhundertsiebenundsechzig,four thousand five hundred sixty-seven,Das Projekt kostet viertausendfünfhundertsiebenundsechzig Euro.
234,zweihundertvierunddreißig,two hundred thirty-four,Es sind zweihundertvierunddreißig Gäste eingeladen.
6789,sechstausendsiebenhundertneunundachtzig,six thousand seven hundred eighty-nine,Die Firma hat sechstausendsiebenhundertneunundachtzig Mitarbeiter.
432,vierhundertzweiunddreißig,four hundred thirty-two,Das Gebäude ist vierhundertzweiunddreißig Meter hoch.
5678,fünftausendsechshundertachtundsiebzig,five thousand six hundred seventy-eight,Die Strecke ist fünftausendsechshundertachtundsiebzig Kilometer lang.
123,einhundertdreiundzwanzig,one hundred twenty-three,Das Buch hat einhundertdreiundzwanzig Seiten.
8765,achttausendsiebenhundertfünfundsechzig,eight thousand seven hundred sixty-five,Das Konzert hat achttausendsiebenhundertfünfundsechzig Besucher.
345,dreihundertfünfundvierzig,three hundred forty-five,Das Hotel hat dreihundertfünfundvierzig Zimmer.
9876,neuntausendachthundertsechsundsiebzig,nine thousand eight hundred seventy-six,Die Stadt hat neuntausendachthundertsechsundsiebzig Einwohner.
567,fünfhundertsiebenundsechzig,five hundred sixty-seven,Das Stadion fasst fünfhundertsiebenundsechzig Zuschauer.
4321,viertausenddreihunderteinundzwanzig,four thousand three hundred twenty-one,Das Projekt kostet viertausenddreihunderteinundzwanzig Euro.
7890,siebentausendachthundertneunzig,seven thousand eight hundred ninety,Es sind siebentausendachthundertneunzig Gäste eingeladen.
2345,zweitausenddreihundertfünfundvierzig,two thousand three hundred forty-five,Die Firma hat zweitausenddreihundertfünfundvierzig Mitarbeiter.
678,sechshundertachtundsiebzig,six hundred seventy-eight,Das Gebäude ist sechshundertachtundsiebzig Meter hoch.
5432,fünftausendvierhundertzweiunddreißig,five thousand four hundred thirty-two,Die Strecke ist fünftausendvierhundertzweiunddreißig Kilometer lang.
321,dreihunderteinundzwanzig,three hundred twenty-one,Das Buch hat dreihunderteinundzwanzig Seiten.
8765,achttausendsiebenhundertfünfundsechzig,eight thousand seven hundred sixty-five,Das Konzert hat achttausendsiebenhundertfünfundsechzig Besucher.
