word,english,example,comparative,superlative
geschlossen,closed,Die Tür ist geschlossen.,geschlossener,am geschlossensten
einfach,simple/easy,Die Aufgabe ist einfach.,einfacher,am einfachsten
schwierig,difficult,Die Frage ist schwierig.,schwieriger,am schwierigsten
möglich,possible,Das ist möglich.,möglicher,am möglichsten
unmöglich,impossible,Das ist unmöglich.,unmöglicher,am unmöglichsten
wahr,true,Die Geschichte ist wahr.,wahrer,am wahrsten
falsch,false,Die Antwort ist falsch.,falscher,am falschesten
gleich,same/equal,Die beiden Häuser sind gleich.,gleicher,am gleichsten
verschieden,different,Unsere Meinungen sind verschieden.,verschiedener,am verschiedensten
fertig,ready/done,Ich bin fertig mit der Arbeit.,fertiger,am fertigsten
deutlich,clear,Seine Aussprache ist sehr deutlich.,deutlicher,am deutlichsten
genau,exact/precise,Das ist die genaue Zeit.,genauer,am genauesten
ähnlich,similar,Die beiden Schwestern sehen ähnlich aus.,ähnlicher,am ähnlichsten
wunderbar,wonderful,Das war ein wunderbarer Tag.,wunderbarer,am wunderbarsten
schrecklich,terrible,Der Film war schrecklich.,schrecklicher,am schrecklichsten
weit,far,Die Schule ist weit von hier.,weiter,am weitesten
nah,near/close,Das Restaurant ist nah.,näher,am nächsten
vorsichtig,careful,Sei vorsichtig!,vorsichtiger,am vorsichtigsten
gefährlich,dangerous,Das ist gefährlich.,gefährlicher,am gefährlichsten
sicher,safe/secure,Ich fühle mich hier sicher.,sicherer,am sichersten
praktisch,practical,Das ist eine praktische Lösung.,praktischer,am praktischsten
theoretisch,theoretical,Das ist eine theoretische Frage.,theoretischer,am theoretischsten
bequem,comfortable,Der Stuhl ist sehr bequem.,bequemer,am bequemsten
unbequem,uncomfortable,Diese Schuhe sind unbequem.,unbequemer,am unbequemsten
ordentlich,tidy/neat,Sein Zimmer ist sehr ordentlich.,ordentlicher,am ordentlichsten
unordentlich,untidy/messy,Mein Schreibtisch ist unordentlich.,unordentlicher,am unordentlichsten
normal,normal,Das ist normal.,normaler,am normalsten
komisch,funny/strange,Das ist komisch.,komischer,am komischsten
seltsam,strange,Das ist ein seltsames Geräusch.,seltsamer,am seltsamsten
bereit,ready,Ich bin bereit.,bereiter,am bereitesten
böse,angry/evil,Er ist böse auf mich.,böser,am bösesten
fleißig,hardworking/diligent,Sie ist eine fleißige Studentin.,fleißiger,am fleißigsten
faul,lazy,Er ist faul.,fauler,am faulsten
geduldig,patient,Der Lehrer ist sehr geduldig.,geduldiger,am geduldigsten
ungeduldig,impatient,Ich bin sehr ungeduldig.,ungeduldiger,am ungeduldigsten
zufrieden,satisfied/content,Ich bin mit meiner Arbeit zufrieden.,zufriedener,am zufriedensten
unzufrieden,dissatisfied,Er ist mit dem Ergebnis unzufrieden.,unzufriedener,am unzufriedensten
