noun,article,english,plural,example,related,word_audio,example_audio,image_path
Wind,der,wind,Winde,Der Wind ist stark.,"der Sturm (storm), das Wetter (weather)",,,
Schnee,der,snow,- (no plural),Im Winter gibt es Schnee.,"der Regen (rain), das Eis (ice)",,,
Geld,das,money,- (uncountable),Ich habe nicht viel Geld.,"der Euro (euro), die Münze (coin)",,,
Straße,die,street,Straßen,Er wohnt in dieser Straße.,"der Weg (way), die Autobahn (highway)",,,
Wohnung,die,apartment,Wohnungen,Unsere Wohnung ist klein aber schön.,"das Haus (house), das Zimmer (room)",,,
Zimmer,das,room,Zimmer,Mein Zimmer ist aufgeräumt.,"die Küche (kitchen), das Badezimmer (bathroom)",,,
Küche,die,kitchen,Küchen,Die Küche ist modern.,"das Badezimmer (bathroom), das Wohnzimmer (living room)",,,
Badezimmer,das,bathroom,Badezimmer,Das Badezimmer ist klein.,"die Küche (kitchen), die Toilette (toilet)",,,
Schlafzimmer,das,bedroom,Schlafzimmer,Im Schlafzimmer steht ein Bett.,"das Wohnzimmer (living room), das Bett (bed)",,,
Bett,das,bed,Betten,Ich schlafe in meinem Bett.,"der Stuhl (chair), der Tisch (table)",,,
Zug,der,train,Züge,Der Zug fährt nach Berlin.,"der Bus (bus), die Bahn (railway)",,,
Bus,der,bus,Busse,Ich fahre mit dem Bus zur Arbeit.,"der Zug (train), die Straßenbahn (tram)",,,
Fahrrad,das,bicycle,Fahrräder,Er fährt mit dem Fahrrad zur Schule.,"das Auto (car), das Motorrad (motorcycle)",,,
Flugzeug,das,airplane,Flugzeuge,Das Flugzeug fliegt nach London.,"der Zug (train), das Schiff (ship)",,,
Beruf,der,profession,Berufe,Was ist dein Beruf?,"die Arbeit (work), der Job (job)",,,
Arzt,der,doctor,Ärzte,Der Arzt untersucht den Patienten.,"die Ärztin (female doctor), die Krankenschwester (nurse)",,,
Lehrer,der,teacher,Lehrer,Der Lehrer erklärt die Aufgabe.,"die Lehrerin (female teacher), die Schule (school)",,,
Polizist,der,police officer,Polizisten,Der Polizist hilft den Menschen.,"die Polizistin (female police officer), die Polizei (police)",,,
Bäcker,der,baker,Bäcker,Der Bäcker backt frisches Brot.,"die Bäckerin (female baker), die Bäckerei (bakery)",,,
Telefon,das,telephone,Telefone,Mein Telefon klingelt.,"das Handy (mobile phone), der Anruf (call)",,,
Handy,das,mobile phone,Handys,Ich habe ein neues Handy.,"das Telefon (telephone), der Computer (computer)",,,
Computer,der,computer,Computer,Der Computer ist kaputt.,"das Tablet (tablet), das Handy (mobile phone)",,,
Musik,die,music,- (uncountable),Ich höre gerne Musik.,"das Lied (song), das Instrument (instrument)",,,
Film,der,movie,Filme,Der Film ist interessant.,"das Kino (cinema), der Fernseher (TV)",,,
Bild,das,picture,Bilder,Das Bild hängt an der Wand.,"das Foto (photo), die Kunst (art)",,,
Foto,das,photo,Fotos,Ich mache ein Foto.,"das Bild (picture), die Kamera (camera)",,,
Farbe,die,color,Farben,Rot ist meine Lieblingsfarbe.,"blau (blue), grün (green)",,,
Tier,das,animal,Tiere,Die Kinder lieben Tiere.,"der Hund (dog), die Katze (cat)",,,
Hund,der,dog,Hunde,Der Hund bellt.,"die Katze (cat), das Haustier (pet)",,,
Katze,die,cat,Katzen,Die Katze schläft auf dem Sofa.,"der Hund (dog), das Haustier (pet)",,,
Fisch,der,fish,Fische,Der Fisch schwimmt im Wasser.,"das Tier (animal), das Meer (sea)",,,
Vogel,der,bird,Vögel,Der Vogel singt schön.,"das Tier (animal), die Feder (feather)",,,
Supermarkt,der,supermarket,Supermärkte,Ich kaufe im Supermarkt ein.,"der Laden (shop), der Markt (market)",,,
Restaurant,das,restaurant,Restaurants,Wir essen im Restaurant.,"das Café (cafe), die Kneipe (pub)",,,
Café,das,cafe,Cafés,Das Café ist gemütlich.,"das Restaurant (restaurant), die Bäckerei (bakery)",,,
Hotel,das,hotel,Hotels,Wir übernachten im Hotel.,"die Pension (boarding house), die Unterkunft (accommodation)",,,
Geschäft,das,shop,Geschäfte,Das Geschäft ist geschlossen.,"der Laden (shop), der Supermarkt (supermarket)",,,
Bibliothek,die,library,Bibliotheken,In der Bibliothek leihe ich Bücher aus.,"das Buch (book), die Universität (university)",,,
Post,die,post office,Posten,Ich gehe zur Post.,"der Brief (letter), das Paket (package)",,,
Bank,die,bank,Banken,Die Bank ist geöffnet.,"das Geld (money), das Konto (account)",,,
Bahnhof,der,train station,Bahnhöfe,Der Zug fährt vom Bahnhof ab.,"der Zug (train), die Station (station)",,,
Flughafen,der,airport,Flughäfen,Der Flughafen ist sehr groß.,"das Flugzeug (airplane), die Reise (journey)",,,
Brief,der,letter,Briefe,Ich schreibe einen Brief.,"die E-Mail (email), die Post (post office)",,,
Zeitung,die,newspaper,Zeitungen,Er liest die Zeitung.,"die Zeitschrift (magazine), die Nachrichten (news)",,,
Nachricht,die,message/news,Nachrichten,Ich habe eine Nachricht bekommen.,"die E-Mail (email), die SMS (text message)",,,
Karte,die,card/map,Karten,Ich kaufe eine Karte für das Konzert.,"die Landkarte (map), die Postkarte (postcard)",,,
Ticket,das,ticket,Tickets,Das Ticket für den Zug kostet 20 Euro.,"die Karte (card), die Fahrkarte (train ticket)",,,
Universität,die,university,Universitäten,Sie studiert an der Universität.,"die Schule (school), der Student (student)",,,
Kurs,der,course,Kurse,Ich besuche einen Deutschkurs.,"die Klasse (class), der Unterricht (class/lesson)",,,
Prüfung,die,exam,Prüfungen,Die Prüfung ist nicht einfach.,"der Test (test), die Schule (school)",,,
Hausaufgabe,die,homework,Hausaufgaben,Ich mache meine Hausaufgaben.,"die Schule (school), der Unterricht (class/lesson)",,,
Fehler,der,mistake,Fehler,Ich habe einen Fehler gemacht.,"das Problem (problem), die Korrektur (correction)",,,
Frage,die,question,Fragen,Ich habe eine Frage.,"die Antwort (answer), das Problem (problem)",,,
Antwort,die,answer,Antworten,Die Antwort ist richtig.,"die Frage (question), die Lösung (solution)",,,
Problem,das,problem,Probleme,Das ist kein großes Problem.,"die Lösung (solution), die Schwierigkeit (difficulty)",,,
Idee,die,idea,Ideen,Das ist eine gute Idee!,"der Gedanke (thought), der Plan (plan)",,,
Grund,der,reason,Gründe,Das ist der Grund.,"die Ursache (cause), die Erklärung (explanation)",,,
