verb,english,classification,present_ich,present_du,present_er,präteritum,auxiliary,perfect,example
denken,to think,gemischt,denke,denkst,denkt,dachte,haben,hat gedacht,Was denkst du?
glauben,to believe,regelmäßig,glaube,glaubst,glaubt,glaubte,haben,hat geglaubt,Ich glaube dir.
meinen,to mean/think,regelmäßig,meine,meinst,meint,meinte,haben,hat gemeint,Was meinst du damit?
wissen,to know,gemischt,weiß,weißt,weiß,wusste,haben,hat gewusst,Ich weiß die Antwort.
kennen,to know (be familiar with),gemischt,kenne,kennst,kennt,kannte,haben,hat gekannt,Kennst du ihn?
können,can/to be able to,unregelmäßig,kann,kannst,kann,konnte,haben,hat gekonnt,Ich kann Deutsch sprechen.
müssen,must/to have to,unregelmäßig,muss,musst,muss,musste,haben,hat gemusst,Ich muss arbeiten.
sollen,should/ought to,unregelmäßig,soll,sollst,soll,sollte,haben,hat gesollt,Du sollst nicht rauchen.
wollen,to want,unregelmäßig,will,willst,will,wollte,haben,hat gewollt,Ich will nach Hause gehen.
mögen,to like,unregelmäßig,mag,magst,mag,mochte,haben,hat gemocht,Ich mag Schokolade.
dürfen,may/to be allowed to,unregelmäßig,darf,darfst,darf,durfte,haben,hat gedurft,Darf ich fragen?
brauchen,to need,regelmäßig,brauche,brauchst,braucht,brauchte,haben,hat gebraucht,Ich brauche Hilfe.
helfen,to help,unregelmäßig,helfe,hilfst,hilft,half,haben,hat geholfen,Ich helfe dir.
zeigen,to show,regelmäßig,zeige,zeigst,zeigt,zeigte,haben,hat gezeigt,Er zeigt mir den Weg.
erklären,to explain,regelmäßig,erkläre,erklärst,erklärt,erklärte,haben,hat erklärt,Die Lehrerin erklärt die Grammatik.
vergessen,to forget,unregelmäßig,vergesse,vergisst,vergisst,vergaß,haben,hat vergessen,Ich vergesse oft meine Schlüssel.
erinnern,to remember,regelmäßig,erinnere,erinnerst,erinnert,erinnerte,haben,hat erinnert,Ich erinnere mich an dich.
anfangen,to begin/start,unregelmäßig,fange an,fängst an,fängt an,fing an,haben,hat angefangen,Wann fängt der Film an?
aufhören,to stop/cease,regelmäßig,höre auf,hörst auf,hört auf,hörte auf,haben,hat aufgehört,Es hört auf zu regnen.
einladen,to invite,unregelmäßig,lade ein,lädst ein,lädt ein,lud ein,haben,hat eingeladen,Ich lade dich zum Essen ein.
anrufen,to call (on phone),unregelmäßig,rufe an,rufst an,ruft an,rief an,haben,hat angerufen,Ich rufe dich später an.
besuchen,to visit,regelmäßig,besuche,besuchst,besucht,besuchte,haben,hat besucht,Wir besuchen unsere Freunde.
treffen,to meet,unregelmäßig,treffe,triffst,trifft,traf,haben,hat getroffen,Ich treffe meinen Freund.
bleiben,to stay,unregelmäßig,bleibe,bleibst,bleibt,blieb,sein,ist geblieben,Ich bleibe zu Hause.
passieren,to happen,regelmäßig,passiere,passierst,passiert,passierte,sein,ist passiert,Was ist passiert?
entschuldigen,to excuse/apologize,regelmäßig,entschuldige,entschuldigst,entschuldigt,entschuldigte,haben,hat entschuldigt,Ich entschuldige mich.
bitten,to request/ask,unregelmäßig,bitte,bittest,bittet,bat,haben,hat gebeten,Ich bitte um Hilfe.
danken,to thank,regelmäßig,danke,dankst,dankt,dankte,haben,hat gedankt,Ich danke dir.
gratulieren,to congratulate,regelmäßig,gratuliere,gratulierst,gratuliert,gratulierte,haben,hat gratuliert,Ich gratuliere dir zum Geburtstag.
fehlen,to be missing/absent,regelmäßig,fehle,fehlst,fehlt,fehlte,haben,hat gefehlt,Er fehlt heute in der Schule.
gehören,to belong to,regelmäßig,gehöre,gehörst,gehört,gehörte,haben,hat gehört,Das Buch gehört mir.
schmecken,to taste,regelmäßig,schmecke,schmeckst,schmeckt,schmeckte,haben,hat geschmeckt,Das Essen schmeckt gut.
regnen,to rain,regelmäßig,regne,regnest,regnet,regnete,haben,hat geregnet,Es regnet heute.
schneien,to snow,regelmäßig,schneie,schneist,schneit,schneite,haben,hat geschneit,Es schneit im Winter.
scheinen,to shine,unregelmäßig,scheine,scheinst,scheint,schien,haben,hat geschienen,Die Sonne scheint.
empfehlen,to recommend,unregelmäßig,empfehle,empfiehlst,empfiehlt,empfahl,haben,hat empfohlen,Ich empfehle dir dieses Buch.
probieren,to try/taste,regelmäßig,probiere,probierst,probiert,probierte,haben,hat probiert,Probier mal diesen Kuchen!
reservieren,to reserve,regelmäßig,reserviere,reservierst,reserviert,reservierte,haben,hat reserviert,Ich reserviere einen Tisch.
diskutieren,to discuss,regelmäßig,diskutiere,diskutierst,diskutiert,diskutierte,haben,hat diskutiert,Wir diskutieren über Politik.
funktionieren,to function/work,regelmäßig,funktioniere,funktionierst,funktioniert,funktionierte,haben,hat funktioniert,Mein Computer funktioniert nicht.
interessieren,to interest,regelmäßig,interessiere,interessierst,interessiert,interessierte,haben,hat interessiert,Das Thema interessiert mich.
reparieren,to repair,regelmäßig,repariere,reparierst,repariert,reparierte,haben,hat repariert,Er repariert sein Fahrrad.
informieren,to inform,regelmäßig,informiere,informierst,informiert,informierte,haben,hat informiert,Ich informiere dich später.
verlieren,to lose,unregelmäßig,verliere,verlierst,verliert,verlor,haben,hat verloren,Ich verliere oft meine Schlüssel.
gewinnen,to win,unregelmäßig,gewinne,gewinnst,gewinnt,gewann,haben,hat gewonnen,Er gewinnt das Spiel.
schwimmen,to swim,unregelmäßig,schwimme,schwimmst,schwimmt,schwamm,sein,ist geschwommen,Die Kinder schwimmen im See.
laufen,to run/walk,unregelmäßig,laufe,läufst,läuft,lief,sein,ist gelaufen,Ich laufe jeden Morgen.
tanzen,to dance,regelmäßig,tanze,tanzt,tanzt,tanzte,haben,hat getanzt,Wir tanzen gern.
singen,to sing,unregelmäßig,singe,singst,singt,sang,haben,hat gesungen,Sie singt schön.
kochen,to cook,regelmäßig,koche,kochst,kocht,kochte,haben,hat gekocht,Ich koche gerne.
backen,to bake,unregelmäßig,backe,backst,backt,backte,haben,hat gebacken,Meine Mutter backt einen Kuchen.
putzen,to clean,regelmäßig,putze,putzt,putzt,putzte,haben,hat geputzt,Ich putze meine Wohnung.
waschen,to wash,unregelmäßig,wasche,wäschst,wäscht,wusch,haben,hat gewaschen,Er wäscht seine Kleidung.
aufräumen,to tidy up,regelmäßig,räume auf,räumst auf,räumt auf,räumte auf,haben,hat aufgeräumt,Ich räume mein Zimmer auf.
planen,to plan,regelmäßig,plane,planst,plant,plante,haben,hat geplant,Wir planen unseren Urlaub.
bestellen,to order,regelmäßig,bestelle,bestellst,bestellt,bestellte,haben,hat bestellt,Ich bestelle eine Pizza.
