number,word,english,example
47,siebenundvierzig,forty-seven,Das Buch hat siebenundvierzig Seiten.
48,achtundvierzig,forty-eight,Die Arbeitszeit beträgt achtundvierzig Stunden.
49,neunundvierzig,forty-nine,Das kostet neunundvierzig Euro.
50,fünfzig,fifty,Die Fahrt dauert fünfzig Minuten.
51,einundfünfzig,fifty-one,Sie ist einundfünfzig Jahre alt.
52,zweiundfünfzig,fifty-two,Ein Jahr hat zweiundfünfzig Wochen.
53,dreiundfünfzig,fifty-three,Das kostet dreiundfünfzig Euro.
54,vierundfünfzig,fifty-four,Er ist vierundfünfzig Jahre alt.
55,fünfundfünfzig,fifty-five,Die Geschwindigkeit ist fünfundfünfzig km/h.
56,sechsundfünfzig,fifty-six,Sie wiegt sechsundfünfzig Kilo.
57,siebenundfünfzig,fifty-seven,Das Haus hat die Nummer siebenundfünfzig.
58,achtundfünfzig,fifty-eight,Der Preis ist achtundfünfzig Euro.
59,neunundfünfzig,fifty-nine,Es sind neunundfünfzig Minuten vergangen.
60,sechzig,sixty,Eine Stunde hat sechzig Minuten.
61,einundsechzig,sixty-one,Er ist einundsechzig Jahre alt.
62,zweiundsechzig,sixty-two,Das kostet zweiundsechzig Euro.
63,dreiundsechzig,sixty-three,Sie ist dreiundsechzig Jahre alt.
64,vierundsechzig,sixty-four,Die Packung enthält vierundsechzig Stück.
65,fünfundsechzig,sixty-five,Das Rentenalter ist fünfundsechzig.
66,sechsundsechzig,sixty-six,Die Route sechsundsechzig ist berühmt.
67,siebenundsechzig,sixty-seven,Er wird siebenundsechzig Jahre alt.
68,achtundsechzig,sixty-eight,Das Jahr neunzehnhundertachtundsechzig war wichtig.
69,neunundsechzig,sixty-nine,Das kostet neunundsechzig Euro.
70,siebzig,seventy,Meine Großmutter ist siebzig Jahre alt.
71,einundsiebzig,seventy-one,Das Thermometer zeigt einundsiebzig Grad Fahrenheit.
72,zweiundsiebzig,seventy-two,Er ist zweiundsiebzig Jahre alt.
73,dreiundsiebzig,seventy-three,Das kostet dreiundsiebzig Euro.
74,vierundsiebzig,seventy-four,Sie wird vierundsiebzig Jahre alt.
75,fünfundsiebzig,seventy-five,Das sind fünfundsiebzig Prozent.
76,sechsundsiebzig,seventy-six,Er wiegt sechsundsiebzig Kilo.
77,siebenundsiebzig,seventy-seven,Die Glückszahl ist siebenundsiebzig.
78,achtundsiebzig,seventy-eight,Das kostet achtundsiebzig Euro.
79,neunundsiebzig,seventy-nine,Sie ist neunundsiebzig Jahre alt.
80,achtzig,eighty,Mein Großvater wird achtzig.
81,einundachtzig,eighty-one,Das Gebäude ist einundachtzig Meter hoch.
82,zweiundachtzig,eighty-two,Er ist zweiundachtzig Jahre alt.
83,dreiundachtzig,eighty-three,Das kostet dreiundachtzig Euro.
84,vierundachtzig,eighty-four,Sie wird vierundachtzig Jahre alt.
85,fünfundachtzig,eighty-five,Die Geschwindigkeit ist fünfundachtzig km/h.
86,sechsundachtzig,eighty-six,Er wiegt sechsundachtzig Kilo.
87,siebenundachtzig,eighty-seven,Das Haus hat die Nummer siebenundachtzig.
88,achtundachtzig,eighty-eight,Das kostet achtundachtzig Euro.
89,neunundachtzig,eighty-nine,Sie ist neunundachtzig Jahre alt.
90,neunzig,ninety,Das sind neunzig Prozent.
91,einundneunzig,ninety-one,Er ist einundneunzig Jahre alt.
92,zweiundneunzig,ninety-two,Das kostet zweiundneunzig Euro.
93,dreiundneunzig,ninety-three,Sie wird dreiundneunzig Jahre alt.
94,vierundneunzig,ninety-four,Die Temperatur ist vierundneunzig Grad Fahrenheit.
95,fünfundneunzig,ninety-five,Das sind fünfundneunzig Prozent.
96,sechsundneunzig,ninety-six,Er wiegt sechsundneunzig Kilo.
97,siebenundneunzig,ninety-seven,Das Haus hat die Nummer siebenundneunzig.
98,achtundneunzig,ninety-eight,Das kostet achtundneunzig Euro.
99,neunundneunzig,ninety-nine,Sie ist neunundneunzig Jahre alt.
100,hundert,one hundred,Das kostet genau hundert Euro.
