word,english,example,comparative,superlative
freundlich,friendly,Die Verkäuferin ist freundlich.,freundlicher,am freundlichsten
nett,nice/kind,Der Nachbar ist nett.,netter,am nettesten
höflich,polite,Der Kellner ist höflich.,höflicher,am höflichsten
ruhig,calm/quiet,Der Park ist ruhig.,ruhiger,am ruhigsten
lustig,funny,Der Film ist lustig.,lustiger,am lustigsten
langweilig,boring,Das Buch ist langweilig.,langweiliger,am langweiligsten
interessant,interesting,Das Museum ist interessant.,interessanter,am interessantesten
wichtig,important,Das Dokument ist wichtig.,wichtiger,am wichtigsten
richtig,right/correct,Die Antwort ist richtig.,richtiger,am richtigsten
falsch,wrong/false,Die Information ist falsch.,falscher,am falschesten
einfach,simple/easy,Die Frage ist einfach.,einfacher,am einfachsten
schwierig,difficult,Die Prüfung ist schwierig.,schwieriger,am schwierigsten
möglich,possible,Das ist möglich.,möglicher,am möglichsten
unmöglich,impossible,Das ist unmöglich.,unmöglicher,am unmöglichsten
sicher,safe/certain,Der Weg ist sicher.,sicherer,am sichersten
gefährlich,dangerous,Die Straße ist gefährlich.,gefährlicher,am gefährlichsten
frei,free,Der Platz ist frei.,freier,am freiesten
besetzt,occupied,Der Stuhl ist besetzt.,besetzter,am besetztesten
offen,open,Die Tür ist offen.,offener,am offensten
geschlossen,closed,Das Geschäft ist geschlossen.,geschlossener,am geschlossensten
fertig,ready/finished,Das Essen ist fertig.,fertiger,am fertigsten
bereit,ready,Ich bin bereit.,bereiter,am bereitesten
früh,early,Der Morgen ist früh.,früher,am frühesten
spät,late,Es ist spät.,später,am spätesten
pünktlich,punctual,Der Zug ist pünktlich.,pünktlicher,am pünktlichsten
modern,modern,Die Wohnung ist modern.,moderner,am modernsten
praktisch,practical,Das ist praktisch.,praktischer,am praktischsten
bequem,comfortable,Der Stuhl ist bequem.,bequemer,am bequemsten
gemütlich,cozy,Das Café ist gemütlich.,gemütlicher,am gemütlichsten
scharf,sharp/spicy,Das Messer ist scharf.,schärfer,am schärfsten
süß,sweet,Der Kuchen ist süß.,süßer,am süßesten
sauer,sour,Die Zitrone ist sauer.,saurer,am sauersten
bitter,bitter,Der Kaffee ist bitter.,bitterer,am bittersten
salzig,salty,Die Suppe ist salzig.,salziger,am salzigsten
frisch,fresh,Das Brot ist frisch.,frischer,am frischesten
rot,red,Die Rose ist rot.,,
blau,blue,Der Himmel ist blau.,,
grün,green,Das Gras ist grün.,,
gelb,yellow,Die Sonne ist gelb.,,
schwarz,black,Die Nacht ist schwarz.,,
weiß,white,Der Schnee ist weiß.,,
grau,gray,Der Himmel ist grau.,,
braun,brown,Der Baum ist braun.,,
rosa,pink,Die Blume ist rosa.,,
orange,orange,Die Orange ist orange.,,
lila,purple,Die Blume ist lila.,,
bunt,colorful,Der Garten ist bunt.,bunter,am buntesten
klar,clear,Das Wasser ist klar.,klarer,am klarsten
deutsch,German,Das ist ein deutsches Buch.,,
englisch,English,Er spricht englisch.,,
amerikanisch,American,Das ist ein amerikanisches Auto.,,
französisch,French,Der französische Wein ist gut.,,
italienisch,Italian,Die italienische Pizza ist lecker.,,
spanisch,Spanish,Die spanische Musik ist schön.,,
chinesisch,Chinese,Das chinesische Essen schmeckt gut.,,
japanisch,Japanese,Das japanische Restaurant ist teuer.,,
russisch,Russian,Der russische Winter ist kalt.,,
türkisch,Turkish,Der türkische Tee ist stark.,,
privat,private,Das ist privat.,privater,am privatesten
öffentlich,public,Der Park ist öffentlich.,öffentlicher,am öffentlichsten
persönlich,personal,Das ist persönlich.,persönlicher,am persönlichsten
allgemein,general,Das ist allgemein bekannt.,allgemeiner,am allgemeinsten
besonders,special,Das ist besonders schön.,besonderer,am besondersten
normal,normal,Das ist normal.,normaler,am normalsten
typisch,typical,Das ist typisch deutsch.,typischer,am typischsten
ähnlich,similar,Die Brüder sind ähnlich.,ähnlicher,am ähnlichsten
verschieden,different,Die Meinungen sind verschieden.,verschiedener,am verschiedensten
gleich,same/equal,Die Schuhe sind gleich.,gleicher,am gleichsten
ganz,whole/entire,Die ganze Familie kommt.,,
halb,half,Das Glas ist halb voll.,,
viel,much/many,Er hat viel Geld.,mehr,am meisten
wenig,little/few,Sie hat wenig Zeit.,weniger,am wenigsten
genug,enough,Das ist genug.,,
toll,great,Das ist toll!,toller,am tollsten
super,super,Das ist super!,,
prima,great,Das ist prima!,,
schlimm,bad/terrible,Das ist schlimm.,schlimmer,am schlimmsten
schrecklich,terrible,Das Wetter ist schrecklich.,schrecklicher,am schrecklichsten
wunderbar,wonderful,Das Essen ist wunderbar.,wunderbarer,am wunderbarsten
herrlich,magnificent,Das Wetter ist herrlich.,herrlicher,am herrlichsten
perfekt,perfect,Das ist perfekt.,perfekter,am perfektesten
ausgezeichnet,excellent,Das Essen ist ausgezeichnet.,ausgezeichneter,am ausgezeichnetsten
bekannt,known/famous,Der Schauspieler ist bekannt.,bekannter,am bekanntesten
berühmt,famous,Die Stadt ist berühmt.,berühmter,am berühmtesten
beliebt,popular,Der Lehrer ist beliebt.,beliebter,am beliebtesten
